Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=VCC Pin=C2-2
Removed Member From Class: ClassName=3102_Sheet Member=C2
Change component parameters: Designator = "R1"; Footprint = "J1-0603"; UniqueID = "\RIPLSATG"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "RT0603BRD0711KL"; VariantName = "[No Variations]"
Change component parameters: Designator = "BT1"; Footprint = "*BAT_BC9VPC_BC9VPC(Primary)"; UniqueID = "\UUDVWXPV"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Batteries and Accessories"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/3/bc9vpc-datasheet-3861.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/3/bc9vpc-datasheet-3861.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Memory Protection Devices"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "BC9VPC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "MPD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole,PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "BC9VPC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Cells"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=1.98000, 10=1.67100, 100=1.38390, 500=1.19462, 1000=1.11629 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/BC9VPC/MPD/view-part/4389071/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "16110"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "BC9VPC-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "PC Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "U3"; Footprint = "SO8_N"; UniqueID = "\JKWYRVBV"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Magnetic Sensors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.nve.com/Downloads/analog_catalog.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
